dataset_id,dataset_type,coordinate_expression,scale_value,window_size,log_scale,source_path,status,notes
huge_10e50_w500k,local_gaps,10^50,10^50,500000,115.12925464970229,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w1m,local_gaps,10^50,10^50,1000000,115.12925464970229,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w100k,local_gaps,10^500,10^500,100000,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w250k,local_gaps,10^500,10^500,250000,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w500k,local_gaps,10^500,10^500,500000,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w1m,local_gaps,10^500,10^500,1000000,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w100k,local_gaps,10^75,10^75,100000,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w250k,local_gaps,10^75,10^75,250000,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w500k,local_gaps,10^75,10^75,500000,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w1m,local_gaps,10^75,10^75,1000000,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
