dataset_id,dataset_type,coordinate_expression,scale_value,window_size,log_scale,source_path,status,notes
huge_10e150_w500k,local_gaps,10^150,10^150,500000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w1m,local_gaps,10^150,10^150,1000000.0,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w100k,local_gaps,10^200,10^200,100000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w250k,local_gaps,10^200,10^200,250000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w500k,local_gaps,10^200,10^200,500000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w1m,local_gaps,10^200,10^200,1000000.0,460.5170185988092,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w100k,local_gaps,10^50,10^50,100000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w250k,local_gaps,10^50,10^50,250000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w500k,local_gaps,10^50,10^50,500000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w1m,local_gaps,10^50,10^50,1000000.0,115.12925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w100k,local_gaps,10^500,10^500,100000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w250k,local_gaps,10^500,10^500,250000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w500k,local_gaps,10^500,10^500,500000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e500_w1m,local_gaps,10^500,10^500,1000000.0,1151.2925464970228,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e500_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w100k,local_gaps,10^75,10^75,100000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w250k,local_gaps,10^75,10^75,250000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w500k,local_gaps,10^75,10^75,500000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e75_w1m,local_gaps,10^75,10^75,1000000.0,172.69388197455345,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e75_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
